ID.PRO,NOMBRES Y APELLIDOS,GEN,POS,REL ESPACIO,ESPACIO,CONDICION,GRUPO,OFICIO,FIRMA,EDAD,POS2,CONDICION 2,ESPACIO 2 ,OTROS ,OBSERVACIONES
1V11F496R,RODRIGO DE TURICES,M,ACREEDOR,VECINDAD,SANTAFE,,,MERCADER,, ,,,,,
1V11F496R,MARIA DIAZ,F,DEUDOR,VECINDAD,SANTAFE,,, ,, ,,,,,
1V11F497R,RODRIGO DE TURICES,M,PATRON,VECINDAD,SANTAFE,,,MERCADER,, ,,,,,
1V11F497R,HERNANDO,M,TRABAJADOR, ,,INDIO,, ,, ,,LADINO,,,
1V11F497R,JUANA,F,TRABAJADOR, ,,INDIO,, ,, ,,LADINO,,,
1V11F497V,RODRIGO DE TURICES,M,PATRON,VECINDAD,SANTAFE,,,MERCADER,, ,,,,,
1V11F497V,YNES ,F,TRABAJADOR, ,,INDIO,, ,, ,,CHINO,,,
1V11F498R,GUIMAR DE VERA,M,COMPRADOR,RESIDENCIA,SANTAFE,,, ,, ,,,,,
1V11F498R,HERNANDO ORTIZ,M,VENDEDOR,RESIDENCIA,SANTAFE,,,TRATANTE,, ,,,,,
1V11F499R,DIEGO DE LEON,M,ACREEDOR,RESIDENCIA,SANTAFE,,,MERCADER,, ,,,,,
1V11F499R,MIGUEL DE YTURMENDI,M,ACREEDOR,RESIDENCIA,SANTAFE,,,MERCADER,, ,,,,,
1V11F499R,BARTOLOME CAMACHO,M,DEUDOR,VECINDAD,SANTAFE,,, ,, ,,,,,
1V11F499V,JUAN DE ORTEGA,M,PATRON,VECINDAD,SANTAFE,,,ESCRIBANO,, ,,,,,
1V11F499V,ALONSO ,M,TRABAJADOR, ,,INDIO,, ,, ,,,,,
1V11F500R,RODRIGO DE TURICES,M,ACREEDOR,RESIDENCIA,SANTAFE,,,MERCADER,, ,,,,,
1V11F500R,GASPAR DIAZ,M,DEUDOR,RESIDENCIA,SANTAFE,,, ,, ,,,,,
1V11F500R,LUIS ,M,ESCLAVO, ,,ESCLAVO,, ,, ,,,,,
1V11F501R,ANTONIO HERNANDEZ,M,ACREEDOR,RESIDENCIA,SANTAFE,,,MERCADER,, ,,,,,
1V11F501R,GASPAR DIAZ,M,DEUDOR,RESIDENCIA,SANTAFE,,, ,, ,,,,,
1V11F502R,JUAN MALDONADO,M,COMPRADOR,RESIDENCIA,SANTAFE,,, ,, ,,,,,
1V11F502R,CRISTOBAL DE VARGAS,M,VENDEDOR,RESIDENCIA,SANTAFE,,,MERCADER,, ,,,,,
1V11F503R,CRISTOBAL DE VARGAS,M,ACREEDOR, ,,,,MERCADER,, ,,,,,
1V11F503R,ALONSO DE SOLA ,M,DEUDOR,RESIDENCIA,SANTAFE,,, ,, ,,,,,
1V11F503V,DIEGO DE LEON,M,ACREEDOR,RESIDENCIA,SANTAFE,,,MERCADER,, ,,,,,
1V11F503V,FELIPA DE ALMEIDA,F,DEUDOR,VECINDAD,SANTAFE,,, ,, ,,,,,
1V11F503V,MANUEL DE ACOSTA,M,DEUDOR,VECINDAD,SANTAFE,,, ,, ,,,,,
1V11F504R,ANTONIO HERNANDEZ,M,ACREEDOR,RESIDENCIA,SANTAFE,,,MERCADER,, ,,,,,
1V11F504R,JUAN PEREZ DE YRARAGA,M,DEUDOR,RESIDENCIA,SANTAFE,,,ZAPATERO,, ,,,,,
1V11F504V,ANTONIO HERNANDEZ,M,ACREEDOR,RESIDENCIA,SANTAFE,,,MERCADER,, ,,,,,
1V11F504V,JUAN DE MORALES,M,DEUDOR,RESIDENCIA,SANTAFE,,,PLATERO DE ORO,, ,,,,,
1V11F505R,BARTOLOME DE GALVEZ,M,CONCERTADO, ,,,,ABOGADO,, ,,,,,
1V11F505R,JUAN RODRIGUEZ DE LEIVA,M,CONCERTANTE, ,,CLERIGO,,LICENCIADO,, ,,,,,
1V11F505R,SIMON ,M,OTROS, ,,ESCLAVO,,,, ,HIPOTECA,,,,
1V11F506R,PEDRO CHAMORRO,M,OTROS, ,,,,ALCALDE ORD.,, ,ASENTISTA,,,,
1V11F506R,JUAN BAUTISTA DE HERRERA,M,PATRON, ,,,,ESCRIBANO,, ,,,,,
1V11F506R,DIEGO ,M,TRABAJADOR, ,,INDIO,, ,, ,,LADINO,,,
1V11F506V,BARTOLOME DE GALVEZ,M,APODERADO,VECINDAD,SANTAFE,,,ABOGADO,, ,,,,,
1V11F506V,JUAN RODRIGUEZ DE LEIVA,M,PODERDANTE,RESIDENCIA,SANTAFE,CLERIGO,,PRESBITERO,, ,,,,,
1V11F507R,JUAN DE TARIFA,M,ARRENDADOR,RESIDENCIA,SANTAFE,,, ,, ,,,,,
1V11F507R,DIEGO DE ORTEGA,M,ARRENDATARIO,VECINDAD,SANTAFE,,,ALCALDE ORD.,, ,,,,,
1V11F507R,HERNANDO RAMOS,M,OTROS, ,,,,TRATANTE,, ,FIADOR,,,,
1V11F508R,GONZALO MARTINEZ,M,ACREEDOR,VECINDAD,SANTAFE,,, ,, ,,,,,
1V11F508R,MARINA DE CARO,F,DEUDOR, ,,,, ,, ,,,,,
1V11F508V,JUAN RODRIGUEZ CANO,M,APODERADO,VECINDAD,SANTAFE,,,MERCADER,, ,,,,,
1V11F508V,BEATRIZ DE CONTRERAS,F,DEUDOR, ,,,, ,, ,,,,,
1V11F508V,DIEGO MORGADO,M,PODERDANTE,RESIDENCIA,SANTAFE,,, ,, ,,,,,
1V11F508V,JUANA AVILACID,F,PODERDANTE,RESIDENCIA,SANTAFE,,, ,, ,,,,,
1V11F509V,DIEGO DE ORTEGA,M,OTROS, ,,,,ALCALDE ORD.,, ,ASENTISTA,,,,
1V11F509V,JUAN BAUTISTA DE HERRERA,M,PATRON, ,,,,ESCRIBANO,, ,,,,,
1V11F509V,BEATRIZ ,F,TRABAJADOR, ,,INDIO,, ,, ,,,,,
1V11F510R,LUIS ROPERO,M,APRENDIZ, ,,MENOR,,APRENDIZ,, ,,,,,
1V11F510R,GONZALO MARTINEZ,M,OTROS,VECINDAD,SANTAFE,,, ,, ,ASENTISTA,,,,
1V11F510R,BARTOLOME DE MORALES,M,MAESTRO,VECINDAD,SANTAFE,,,ZURRADOR,, ,,,,,
1V11F511R,MARTIN DE AGURTO,M,ACREEDOR,VECINDAD,SANTAFE,,, ,, ,,,,,
1V11F511R,RODRIGO PARDO,M,DEUDOR,VECINDAD,SANTAFE,CAPITAN,, ,, ,,,,,
1V11F511R,LUIS DE MOSALVE,M,DEUDOR,VECINDAD,TOCAIMA,,, ,, ,,,,,
1V11F511V,MARCOS DE FIGUERAS,M,APODERADO,RESIDENCIA,IBAGUE,,,TRATANTE,, ,,,,,
1V11F511V,FRANCISCO DE MORETA,M,APODERADO,RESIDENCIA,IBAGUE,,,TRATANTE,, ,,,,,
1V11F511V,ALONSO GARCIA,M,PODERDANTE,RESIDENCIA,SANTAFE,,,ZAPATERO,, ,,,,,
1V11F512R,PEDRO MUÑOZ DE SALAZAR,M,COMPRADOR,VECINDAD,SANTAFE,,,ESCRIBANO,, ,,,,,
1V11F512R,EVA ,F,ESCLAVO, ,,ESCLAVO,,,, ,,,,,
1V11F512R,CRISPIN DIAZ,M,OTROS, ,,DIFUNTO,,,, ,TESTANTE,,,,
1V11F512R,LUIS LOPEZ ORTIZ,M,VENDEDOR,VECINDAD,SANTAFE,,,MERCADER,, ,ALBACEA,,,,
1V11F512R,JUAN RODRIGUEZ CANO,M,VENDEDOR,VECINDAD,SANTAFE,,,MERCADER,, ,ALBACEA,,,,
1V11F514V,ANTONIO  HERNANDEZ,M,ACREEDOR,RESIDENCIA,SANTAFE,,,MERCADER,, ,,,,,
1V11F514V,JULIAN EL MOZO ROLDAN,M,DEUDOR,RESIDENCIA,SANTAFE,,, ,, ,,,,,
1V11F514V,JULIAN EL VIEJO ROLDAN,M,DEUDOR, ,,,, ,, ,,,,,
1V11F515R,ANTONIO HERNANDEZ,M,ACREEDOR,RESIDENCIA,SANTAFE,,,MERCADER,, ,,,,,
1V11F515R,PEDRO DE VICTORIA,M,DEUDOR,RESIDENCIA,SANTAFE,,,MAESTRO DE MUCHACHOS,, ,,,,,
1V11F515V,MARTIN DE AGURTO,M,APODERADO,VECINDAD,SANTAFE,,, ,, ,,,,,
1V11F515V,MARTIN RODRIGUEZ,M,PODERDANTE,RESIDENCIA,SANTAFE,,,PLATERO,, ,,,,,
1V11F516R,CATALINA LOPEZ,F,ACREEDOR,VECINDAD,SANTAFE,,, ,, ,,,,,
1V11F516R,ANTONIO DE HOYOS,M,DEUDOR,VECINDAD,TUNJA,,, ,, ,,,,,
1V11F516R,FRANCISCO GOMEZ,M,ESCLAVO, ,,ESCLAVO,,,, ,,,,,
1V11F516V,RODRIGO DE TURICES,M,ACREEDOR,RESIDENCIA,SANTAFE,,,MERCADER,, ,,,,,
1V11F516V,LUIS CARDOZO,M,DEUDOR,VECINDAD,SANTAFE,,, ,, ,,,,,
1V11F517V,ANTONIO DE HOYOS,M,COMPRADOR,VECINDAD,TUNJA,,, ,, ,,,,,
1V11F517V,FRANCISCO GOMEZ,M,ESCLAVO, ,,ESCLAVO,, ,,60,,,,,
1V11F517V,CATALINA LOPEZ,F,VENDEDOR,VECINDAD,SANTAFE,VIUDA,, ,, ,,,,,
1V11F518V,ANTONIO GOMEZ,M,COMPRADOR,RESIDENCIA,SANTAFE,,,MERCADER,, ,,,,,
1V11F518V,JUANA DE BERRIO,F,ESCLAVO, ,,ESCLAVO,, ,,30,,,,,
1V11F518V,DIEGO LOPEZ DE VEJAR,M,VENDEDOR,VECINDAD,SANTAFE,,, ,, ,,,,,
1V11F519V,ALONSO GARCIA,M,APODERADO,RESIDENCIA,SANTAFE,,, ,, ,,,,,
1V11F519V,PEDRO RODRIGUEZ,M,APODERADO,RESIDENCIA,SANTAFE,,,ZURRADOR,, ,,,,,
1V11F519V,FRANCISCO VASQUEZ,M,PODERDANTE,RESIDENCIA,SANTAFE,,,ZAPATERO,, ,,,,,
1V11F520V,DIEGO DE ORTEGA,M,OTROS, ,,,,ALCALDE ORD.,, ,ASENTISTA,,,,
1V11F520V,LOPE DE RIOJA,M,PATRON,VECINDAD,SANTAFE,,,RELATOR AUDA,, ,,,,,
1V11F520V,ANTON ,M,TRABAJADOR, ,,INDIO,, ,, ,,LADINO,,,
1V11F521R,JUAN  AMARILLO,M,PATRON, ,,,, ,, ,,,,,
1V11F521R,PEDRO ,M,TRABAJADOR, ,,INDIO,, ,, ,,LADINO,,,
1V11F521V,PEDRO CHAMORRO,M,OTROS, ,,,,ALCALDE ORD.,, ,ASENTISTA,,,,
1V11F521V,JUAN BAUTISTA DE HERRERA,M,PATRON, ,,,,ESCRIBANO,, ,,,,,
1V11F521V,PEDRO ,M,TRABAJADOR, ,,INDIO,, ,, ,,LADINO,,,
1V11F522R,DIEGO DE ORTEGA,M,OTROS, ,,,,ALCALDE ORD.,, ,ASENTISTA,,,,
1V11F522R,JUAN DE CHAVEZ,M,PATRON,RESIDENCIA,SANTAFE,,,TRATANTE,, ,,,,,
1V11F522R,DIEGO ,M,TRABAJADOR, ,,INDIO,, ,, ,,LADINO,,,
1V11F522R,YSABEL ,F,TRABAJADOR, ,,INDIO,, ,, ,,LADINO,,,
1V11F522V,JUAN ROLDAN,M,OTROS, ,,,,ALGUACIL,, ,ASENTISTA,,,,
1V11F522V,LICENCIADO LEON ,M,PATRON, ,,,,ABOGADO,, ,,,,,
1V11F522V,MENCIA ,F,TRABAJADOR, ,,INDIO,, ,, ,,LADINO,,,
1V11F523R,BERNARDO DE CABRERA,M,APODERADO,RESIDENCIA,SANTAFE,,, ,, ,,,,,
1V11F523R,MELCHOR DE SANTIAGO,M,PODERDANTE,RESIDENCIA,SANTAFE,,, ,, ,,,,,
1V11F523V,LUIS LOPEZ ORTIZ,M,APODERADO,VECINDAD,SANTAFE,,,MERCADER,, ,,,,,
1V11F523V,JUAN RODRIGUEZ CANO,M,APODERADO,VECINDAD,SANTAFE,,,MERCADER,, ,,,,,
1V11F523V,CRISTOBAL DE VARGAS,M,PODERDANTE,RESIDENCIA,SANTAFE,,,MERCADER,, ,,,,,
1V11F526V,ALONSO DEL VALLE,M,APODERADO, ,,,,PROCURADOR,, ,,,,,
1V11F526V,PEDRO DIAZ,M,PODERDANTE,RESIDENCIA,SANTAFE,,,MERCADER,, ,,,,,
1V11F527R,JUAN DE ORTEGA,M,ACREEDOR,VECINDAD,SANTAFE,,,MERCADER,, ,,,,,
1V11F527R,DIEGO DE ORTEGA,M,ACREEDOR,VECINDAD,SANTAFE,,,MERCADER,, ,,,,,
1V11F527R,JUAN RODRIGUEZ CANO,M,ACREEDOR, ,,,,MERCADER,, ,,,,,
1V11F527R,ANTONIO DE LEBRIJA,M,DEUDOR,RESIDENCIA,SANTAFE,CLERIGO,,PRESBITERO,, ,,,,,
1V11F527V,CRISTOBAL DE VARGAS,M,ACREEDOR,RESIDENCIA,SANTAFE,,,MERCADER,, ,,,,,
1V11F527V,LUIS CARDOZO,M,DEUDOR,VECINDAD,SANTAFE,,, ,,14<25,,,,,
1V11F528V,BARTOLOME DE GALVEZ,M,APODERADO, ,,LICENCIADO,,ABOGADO,, ,,,,,
1V11F528V,GONZALO DE PINALIDUEÑA,M,PODERDANTE,,,CAPITAN,, ,, ,,,,,
1V11F531R,BARTOLOME DE GALVEZ,M,APODERADO,RESIDENCIA,SANTAFE,LICENCIADO,,ABOGADO,, ,,,,,
1V11F531R,JUAN DE ESCOBAR,M,PODERDANTE,RESIDENCIA,TOCAIMA,CLERIGO,,CURA Y VICARIO,, ,,,,,
1V11F531R,LUIS ZAPATA CARDENAS,M,PODERDANTE, ,,,,ARZOBISPO,, ,,,,,
1V11F534R,JUAN DE ESCOBAR,M,ACREEDOR,RESIDENCIA,TOCAIMA,CLERIGO,,CURA,, ,,,,,
1V11F534R,BARTOLOME DE GALVEZ,M,DEUDOR,VECINDAD,SANTAFE,,,ABOGADO,, ,,,,,
1V11F535R,BARTOLOME DE GALVEZ,M,APODERADO,VECINDAD,SANTAFE,LICENCIADO,,ABOGADO,, ,,,,,
1V11F535R,FRANCISCO SANCHEZ,M,PODERDANTE,RESIDENCIA,SANTAFE,CLERIGO,,PRESBITERO,, ,,,,,
1V11F536R,HERNAN GONZALEZ HERMOSO,M,APODERADO, ,,,,PROCURADOR,, ,,,,,
1V11F536R,JUAN LOPEZ DE ALCAZAR,M,PODERDANTE,RESIDENCIA,SANTAFE,,, ,, ,,,,,
1V11F536V,NICOLAS DE SEPULVEDA,M,ACREEDOR,VECINDAD,SANTAFE,,, ,, ,,,,,
1V11F536V,LUIS JURADO,M,DEUDOR,RESIDENCIA,SANTAFE,,, ,, ,,,,,
1V11F537R,PEDRO DE BUSTAMANTE,M,OTROS, ,,,,,, ,ASENTISTA,,,,
1V11F537R,RODRIGO DE TURICES,M,PATRON, ,,,,MERCADER,, ,,,,,
1V11F537R,ANTONIO  ,M,TRABAJADOR, ,,MESTIZO,, ,, ,,,,,
1V11F538R,HERNANDO DE VELASCO E ANGULO,M,ACREEDOR,VECINDAD,SANTAFE,CAPITAN,, ,, ,,,,,
1V11F538R,HERNANDO SUAREZ,M,DEUDOR,RESIDENCIA,SANTAFE,,,MERCADER,, ,,,,,
1V11F538R,PEDRO DE CASTILLA,M,DEUDOR,RESIDENCIA,SANTAFE,,,MERCADER,, ,,,,,
1V11F539R,LUIS DE LA TORRE,M,APODERADO,RESIDENCIA,SANTAFE,,,BOTICARIO,, ,,,,,
1V11F539R,ANDRES DE ORELLANA,M,APODERADO,RESIDENCIA,SANTAFE,,, ,, ,,,,,
1V11F539R,GOMEZ MARTIN,M,APODERADO, ,,,, ,, ,,,,,
1V11F539R,GARCIA DE ARAOZ,M,PODERDANTE,RESIDENCIA,SANTAFE,,,MERCADER,, ,,,,,
1V11F540R,ALONSO BRAVO,M,APODERADO,RESIDENCIA,SANTAFE,,, ,, ,,,,,
1V11F540R,LUIS CARDOZO,M,PODERDANTE,VECINDAD,SANTAFE,,, ,, ,,,,,
1V11F541R,MARCOS GARCIA,M,ACREEDOR,RESIDENCIA,SANTAFE,,,MERCADER,, ,,,,,
1V11F541R,FRANCISCO DALABA,M,DEUDOR,VECINDAD,SANTAFE,CAPITAN,, ,, ,,,,,
1V11F541R,JUAN DE ALMANZA,M,OTROS, ,,CAPITAN,,,, ,FIADOR,,,,
1V11F541R,JUAN DE GUZMAN,M,OTROS, ,,,, ,, ,FIADOR,,,,
1V11F541R,MIGUEL HENRIQUEZ,M,OTROS, ,,,, ,, ,FIADOR,,,,
1V11F542R,JUAN DE PEDRAZA,M,DEUDOR,VECINDAD,SANTAFE,,,SASTRE,, ,,,,,
1V11F542R,MIGUEL DE YTURMENDI,M,ACREEDOR,RESIDENCIA,SANTAFE,,, ,, ,,,,,
1V11F543R,FERNAN PARDO,M,APODERADO,RESIDENCIA,SANTAFE,,,MERCADER,, ,,,,,
1V11F543R,ALONSO DEL VALLE,M,APODERADO, ,,,,PROCURADOR,, ,,,,,
1V11F543R,GARCIA DE ARAOZ,M,PODERDANTE,RESIDENCIA,SANTAFE,,,MERCADER,, ,,,,,
1V11F544R,JUAN  MARTIN BASTIDAS,M,APODERADO,RESIDENCIA,SANTAFE,,, ,, ,,,,,
1V11F544R,ALONSO DELGADO,M,OTROS,RESIDENCIA,MARIQUITA,DIFUNTO,, ,, ,,,,,
1V11F544R,BENITO LOPEZ DE HERRERA,M,PODERDANTE,RESIDENCIA,SANTAFE,,, ,, ,,,,,
1V11F545R,MARTIN CAMACHO,M,APODERADO, ,,,,PROCURADOR,, ,,,,,
1V11F545R,JUAN DE ALCOCER,M,PODERDANTE,RESIDENCIA,SANTAFE,,, ,, ,,,,,
1V11F545R,FRANCISCA ,F,PODERDANTE, ,,MESTIZO,, ,, ,,,,,
1V11F546R,JUAN FRAILE,M,ACREEDOR,RESIDENCIA,SANTAFE,,, ,, ,,,,,
1V11F546R,BENITO LOPEZ DE HERRERA,M,DEUDOR,RESIDENCIA,SANTAFE,,, ,, ,,,,,
1V11F547R,FRANCISCO DE TRIANA,M,APODERADO,VECINDAD,LA PALMA,,, ,, ,,,,,
1V11F547R,FRANCISCO  MARTINEZ,M,OTROS, ,,DIFUNTO,, ,, ,,,,,
1V11F547R,YSABEL OLALLA,F,PODERDANTE,RESIDENCIA,SANTAFE,VIUDA,, ,, ,,,,,
1V11F548R,LOPE DE RIOJA,M,ACREEDOR,VECINDAD,SANTAFE,,,RELATOR AUDA,, ,,,,,
1V11F548R,JUAN DE LOS RIOS,M,DEUDOR,RESIDENCIA,SANTAFE,,, ,, ,,,,,
